
[검색조건]
기간 : 2017~2021년,비교연도: 2021

[장마평년값]
지역,시작일,종료일,기간(일),강수일수(일),평균강수량(mm)
중부지방,06.25.,07.26.,31.5,17.7,378.3
남부지방,06.23.,07.24.,31.4,17.0,341.1
제주지방,06.19.,07.20.,32.4,17.5,348.7

[전국 강수량 및 강수일수]
연도,강수량(mm),강수일수
2017,296.7,16.9
2018,292.7,10.8
2019,299.7,16.4
2020,696.5,28.5
2021,227.5,9.9


[지역별 평균 강수량 계급일수]
구분,중부,,남부,,제주도,,전국
,일강수량80mm이상일수,1시간강수량30mm이상일수,일강수량80mm이상일수,1시간강수량30mm이상일수,일강수량80mm이상일수,1시간강수량30mm이상일수,일강수량80mm이상일수,1시간강수량30mm이상일수
가장많은해,3.3(2020),2.5(2017),2.6(2020),1.3(2020),5(2019),4.5(2020),2.9(2020),1.9(2020)
30년 평균,1,0.8,0.8,0.7,1,0.8,0.9,0.7
2021년,0.1,0.1,0.4,0.3,0.2,0.5,0.7,0.8


[전국 평균 강수량 및 강수일수]
구분,강수량(mm),년,강수일수(일),년
가장 많은 해,696.5,2020,28.5,2020
가장 적은 해,227.5,2021,9.9,2021
2021,227.5,2021,9.9,2021


[지역별 평균 강수량 및 강수일수]
구분,중부,,,,남부,,,,제주도,,,,
,강수량(mm),년,강수일수(일),년,강수량(mm),년,강수일수(일),년,강수량(mm),년,강수일수(일),년
가장 많은 해,856.1,2020,34.9,2020,581.3,2020,23.9,2020,591.8,2020,29.5,2020
가장 적은 해,150.9,2021,9.3,2021,196.2,2017,10.3,2021,150.1,2021,8.8,2017
2021,150.9,2021,9.3,2021,282.9,2021,10.3,2021,150.1,2021,9,2021


[지역별 시작일 분석]
구분,중부,남부,제주도
가장 빠른 해,2020-06-24,2020-06-24,2020-06-10
가장 늦은 해,2021-07-03,2021-07-03,2021-07-03
2021,2021-07-03,2021-07-03,2021-07-03


[지역별 종료일 분석]
구분,중부,남부,제주도
가장 빠른 해,2018-07-11,2018-07-09,2018-07-09
가장 늦은 해,2020-08-16,2020-07-31,2020-07-28
2021,2021-07-19,2021-07-19,2021-07-19


[지역별 기간 분석]
구분,중부,,,남부,,,제주도,,,
,시작일,종료일,기간,시작일,종료일,기간,시작일,종료일,기간
최장,2020-06-24,2020-08-16,54,2020-06-24,2020-07-31,38,2020-06-10,2020-07-28,49
최단,2018-06-26,2018-07-11,16,2018-06-26,2018-07-09,14,2021-07-03,2021-07-19,17
2021,2021-07-03,2021-07-19,17,2021-07-03,2021-07-19,17,2021-07-03,2021-07-19,17

